jugador_id,torneo_id,asistencia,origen,origen_lat,origen_lon,destino,destino_lat,destino_lon
128,110,1,Venado Tuerto,-33.7455566,-61.9690161,11,-33.7447968,-61.9744751
128,112,1,Venado Tuerto,-33.7455566,-61.9690161,3,-33.5356733,-61.1287133
128,113,1,Venado Tuerto,-33.7455566,-61.9690161,2,-33.3751295,-61.7115049
128,114,1,Venado Tuerto,-33.7455566,-61.9690161,19,-33.4583964,-61.4862572
128,129,1,Venado Tuerto,-33.7455566,-61.9690161,9,-33.125976,-62.0942234
128,131,1,Venado Tuerto,-33.7455566,-61.9690161,2,-33.3751295,-61.7115049
128,132,1,Venado Tuerto,-33.7455566,-61.9690161,6,-33.700647,-61.6136698
128,133,1,Venado Tuerto,-33.7455566,-61.9690161,2,-33.3751295,-61.7115049
128,135,1,Venado Tuerto,-33.7455566,-61.9690161,1,-33.5659426,-62.8847199
128,136,1,Venado Tuerto,-33.7455566,-61.9690161,11,-33.7447968,-61.9744751
130,114,1,Carcaraña,-32.8571864,-61.1578169,2,-33.3751295,-61.7115049
130,132,1,Carcaraña,-32.8571864,-61.1578169,3,-33.5356733,-61.1287133
134,110,1,Elortondo,-33.7011985,-61.6160889,16,-33.7459475,-61.9638895
134,111,1,Elortondo,-33.7011985,-61.6160889,12,-31.724134,-60.5364805
134,112,1,Elortondo,-33.7011985,-61.6160889,6,-33.700647,-61.6136698
134,113,1,Elortondo,-33.7011985,-61.6160889,19,-33.4583964,-61.4862572
134,114,1,Elortondo,-33.7011985,-61.6160889,20,-33.3244841,-62.0412914
134,116,1,Elortondo,-33.7011985,-61.6160889,1,-33.5659426,-62.8847199
134,117,1,Elortondo,-33.7011985,-61.6160889,15,-31.5901238,-60.7289541
134,120,1,Elortondo,-33.7011985,-61.6160889,20,-33.3244841,-62.0412914
134,131,1,Elortondo,-33.7011985,-61.6160889,19,-33.4583964,-61.4862572
134,132,1,Elortondo,-33.7011985,-61.6160889,3,-33.5356733,-61.1287133
134,133,1,Elortondo,-33.7011985,-61.6160889,16,-33.7459475,-61.9638895
134,134,1,Elortondo,-33.7011985,-61.6160889,2,-33.3751295,-61.7115049
134,135,1,Elortondo,-33.7011985,-61.6160889,1,-33.5659426,-62.8847199
134,136,1,Elortondo,-33.7011985,-61.6160889,11,-33.7447968,-61.9744751
142,113,1,Firmat,-33.4583964,-61.4862572,20,-33.3244841,-62.0412914
142,114,1,Firmat,-33.4583964,-61.4862572,2,-33.3751295,-61.7115049
142,118,1,Firmat,-33.4583964,-61.4862572,2,-33.3751295,-61.7115049
142,129,1,Firmat,-33.4583964,-61.4862572,2,-33.3751295,-61.7115049
142,133,1,Firmat,-33.4583964,-61.4862572,6,-33.700647,-61.6136698
142,134,1,Firmat,-33.4583964,-61.4862572,20,-33.3244841,-62.0412914
142,135,1,Firmat,-33.4583964,-61.4862572,1,-33.5659426,-62.8847199
143,133,1,Venado Tuerto,-33.7455566,-61.9690161,2,-33.3751295,-61.7115049
148,136,1,Venado Tuerto,-33.7455566,-61.9690161,16,-33.7459475,-61.9638895
150,111,1,Rafaela,-31.2547504,-61.528983,12,-31.724134,-60.5364805
150,117,1,Rafaela,-31.2547504,-61.528983,8,-31.203066,-61.479862
150,126,1,Rafaela,-31.2547504,-61.528983,15,-31.5901238,-60.7289541
150,127,1,Rafaela,-31.2547504,-61.528983,15,-31.5901238,-60.7289541
151,111,1,Paraná,-31.743465,-60.508353,12,-31.724134,-60.5364805
151,112,1,Paraná,-31.743465,-60.508353,3,-33.5356733,-61.1287133
151,117,1,Paraná,-31.743465,-60.508353,8,-31.203066,-61.479862
151,126,1,Paraná,-31.743465,-60.508353,15,-31.5901238,-60.7289541
151,127,1,Paraná,-31.743465,-60.508353,15,-31.5901238,-60.7289541
